Bitstring,Cost
"(1, 0, 1, 1, 0, 1, 0, 1, 0)",5628.0
"(1, 1, 0, 1, 0, 0, 1, 0, 1)",5630.0
"(0, 1, 1, 0, 1, 0, 1, 1, 0)",5631.0
"(0, 1, 1, 0, 1, 0, 0, 0, 1)",5631.0
"(1, 0, 1, 0, 1, 1, 0, 0, 0)",5641.0
"(1, 1, 0, 0, 1, 0, 0, 1, 0)",5643.0
"(0, 0, 0, 1, 1, 1, 1, 1, 0)",5645.0
"(0, 0, 0, 1, 1, 1, 0, 0, 1)",5645.0
"(1, 1, 1, 0, 0, 0, 1, 0, 1)",5645.0
"(0, 0, 1, 1, 0, 1, 0, 1, 1)",5647.0
"(0, 1, 0, 1, 0, 0, 1, 0, 0)",5649.0
"(1, 0, 0, 1, 0, 1, 1, 0, 1)",5659.0
"(0, 0, 1, 0, 1, 1, 1, 1, 0)",5660.0
"(0, 0, 1, 0, 1, 1, 0, 0, 1)",5660.0
"(0, 1, 0, 0, 1, 0, 0, 1, 1)",5662.0
"(0, 1, 1, 0, 0, 0, 1, 0, 0)",5664.0
"(1, 0, 0, 0, 1, 1, 0, 1, 0)",5672.0
"(1, 0, 1, 0, 0, 1, 1, 0, 1)",5674.0
"(1, 1, 0, 0, 0, 0, 1, 1, 1)",5676.0
"(1, 1, 0, 0, 0, 0, 0, 0, 0)",5676.0
"(0, 0, 0, 1, 0, 1, 1, 0, 0)",5678.0
"(0, 0, 0, 0, 1, 1, 0, 1, 1)",5691.0
"(0, 0, 1, 0, 0, 1, 1, 0, 0)",5693.0
"(0, 1, 0, 0, 0, 0, 0, 0, 1)",5695.0
"(0, 1, 0, 0, 0, 0, 1, 1, 0)",5695.0
"(1, 0, 0, 0, 0, 1, 0, 0, 0)",5705.0
"(1, 0, 0, 0, 0, 1, 1, 1, 1)",5705.0
"(0, 0, 0, 0, 0, 1, 0, 0, 1)",5724.0
"(0, 0, 0, 0, 0, 1, 1, 1, 0)",5724.0
"(0, 1, 1, 1, 1, 1, 1, 0, 0)",7652.0
"(1, 1, 0, 1, 1, 1, 0, 0, 0)",7664.0
"(1, 1, 1, 1, 0, 1, 0, 1, 0)",7666.0
"(1, 1, 1, 0, 1, 1, 0, 0, 0)",7679.0
"(0, 0, 1, 1, 1, 0, 0, 1, 0)",7681.0
"(0, 1, 0, 1, 1, 1, 0, 0, 1)",7683.0
"(0, 1, 0, 1, 1, 1, 1, 1, 0)",7683.0
"(0, 1, 1, 1, 0, 1, 0, 1, 1)",7685.0
"(1, 0, 0, 1, 1, 0, 1, 0, 0)",7693.0
"(1, 0, 1, 1, 0, 0, 1, 1, 0)",7695.0
"(1, 0, 1, 1, 0, 0, 0, 0, 1)",7695.0
"(1, 1, 0, 1, 0, 1, 1, 0, 1)",7697.0
"(0, 1, 1, 0, 1, 1, 1, 1, 0)",7698.0
"(0, 1, 1, 0, 1, 1, 0, 0, 1)",7698.0
"(1, 0, 1, 0, 1, 0, 1, 0, 0)",7708.0
"(1, 1, 0, 0, 1, 1, 0, 1, 0)",7710.0
"(0, 0, 0, 1, 1, 0, 1, 0, 1)",7712.0
"(1, 1, 1, 0, 0, 1, 1, 0, 1)",7712.0
"(0, 0, 1, 1, 0, 0, 1, 1, 1)",7714.0
"(0, 1, 0, 1, 0, 1, 0, 0, 0)",7716.0
"(1, 0, 0, 1, 0, 0, 0, 1, 1)",7726.0
"(0, 0, 1, 0, 1, 0, 1, 0, 1)",7727.0
